"covariateId","covariateName","analysisId","conceptId","covariateValue"
81151210,"condition_era group during day -365 through -1 days relative to index: Sprain of ankle",210,81151,0
198199210,"condition_era group during day -365 through -1 days relative to index: Pyelonephritis",210,198199,0
40486433210,"condition_era group during day -365 through -1 days relative to index: Perennial allergic rhinitis",210,40486433,0
4149245210,"condition_era group during day -365 through -1 days relative to index: Rupture of patellar tendon",210,4149245,0
4294548210,"condition_era group during day -365 through -1 days relative to index: Acute bacterial sinusitis",210,4294548,0
78272210,"condition_era group during day -365 through -1 days relative to index: Sprain of wrist",210,78272,0
134438210,"condition_era group during day -365 through -1 days relative to index: Contact dermatitis",210,134438,0
317576210,"condition_era group during day -365 through -1 days relative to index: Coronary arteriosclerosis",210,317576,0
4056621210,"condition_era group during day -365 through -1 days relative to index: Recurrent urinary tract infection",210,4056621,0
198809210,"condition_era group during day -365 through -1 days relative to index: Acute cholecystitis",210,198809,0
196456210,"condition_era group during day -365 through -1 days relative to index: Gallstone",210,196456,0
4134304210,"condition_era group during day -365 through -1 days relative to index: Fracture subluxation of wrist",210,4134304,0
80809210,"condition_era group during day -365 through -1 days relative to index: Rheumatoid arthritis",210,80809,0
4048171210,"condition_era group during day -365 through -1 days relative to index: Perennial allergic rhinitis with seasonal variation",210,4048171,0
4109685210,"condition_era group during day -365 through -1 days relative to index: Laceration of foot",210,4109685,0
4059173210,"condition_era group during day -365 through -1 days relative to index: Fracture of ankle",210,4059173,0
258780210,"condition_era group during day -365 through -1 days relative to index: Emphysematous bronchitis",210,258780,0
4035415210,"condition_era group during day -365 through -1 days relative to index: Tear of meniscus of knee",210,4035415,0
439777210,"condition_era group during day -365 through -1 days relative to index: Anemia",210,439777,0
381316210,"condition_era group during day -365 through -1 days relative to index: Cerebrovascular accident",210,381316,0
321042210,"condition_era group during day -365 through -1 days relative to index: Cardiac arrest",210,321042,0
261325210,"condition_era group during day -365 through -1 days relative to index: Pulmonary emphysema",210,261325,0
4084167210,"condition_era group during day -365 through -1 days relative to index: Acute allergic reaction",210,4084167,0
4142905210,"condition_era group during day -365 through -1 days relative to index: Fracture of rib",210,4142905,0
8507001,"gender = MALE",1,8507,0
9003,"age group:  45 -  49",3,0,0
1112807410,"drug_era group during day -365 through -1 days relative to index: Aspirin",410,1112807,0
1759842410,"drug_era group during day -365 through -1 days relative to index: Clavulanate",410,1759842,0
1713332410,"drug_era group during day -365 through -1 days relative to index: Amoxicillin",410,1713332,0
1115008410,"drug_era group during day -365 through -1 days relative to index: Naproxen",410,1115008,0
933724410,"drug_era group during day -365 through -1 days relative to index: Phenazopyridine",410,933724,0
920293410,"drug_era group during day -365 through -1 days relative to index: Nitrofurantoin",410,920293,0
1729720410,"drug_era group during day -365 through -1 days relative to index: Penicillin V",410,1729720,0
19010482410,"drug_era group during day -365 through -1 days relative to index: Cyclosporine",410,19010482,0
975125410,"drug_era group during day -365 through -1 days relative to index: Hydrocortisone",410,975125,0
1768849410,"drug_era group during day -365 through -1 days relative to index: Cefaclor",410,1768849,0
1322184410,"drug_era group during day -365 through -1 days relative to index: clopidogrel",410,1322184,0
1361711410,"drug_era group during day -365 through -1 days relative to index: Nitroglycerin",410,1361711,0
1177480410,"drug_era group during day -365 through -1 days relative to index: Ibuprofen",410,1177480,0
738818410,"drug_era group during day -365 through -1 days relative to index: Doxylamine",410,738818,0
1119510410,"drug_era group during day -365 through -1 days relative to index: Dextromethorphan",410,1119510,0
1102527410,"drug_era group during day -365 through -1 days relative to index: Meperidine",410,1102527,0
1174888410,"drug_era group during day -365 through -1 days relative to index: Hydrocodone",410,1174888,0
1778162410,"drug_era group during day -365 through -1 days relative to index: Cefuroxime",410,1778162,0
1539403410,"drug_era group during day -365 through -1 days relative to index: Simvastatin",410,1539403,0
1150770410,"drug_era group during day -365 through -1 days relative to index: Astemizole",410,1150770,0
1149380410,"drug_era group during day -365 through -1 days relative to index: fluticasone",410,1149380,0
1137529410,"drug_era group during day -365 through -1 days relative to index: salmeterol",410,1137529,0
708298410,"drug_era group during day -365 through -1 days relative to index: Midazolam",410,708298,0
1110410410,"drug_era group during day -365 through -1 days relative to index: Morphine",410,1110410,0
753626410,"drug_era group during day -365 through -1 days relative to index: Propofol",410,753626,0
1124957410,"drug_era group during day -365 through -1 days relative to index: Oxycodone",410,1124957,0
782043410,"drug_era group during day -365 through -1 days relative to index: Isoflurane",410,782043,0
1154029410,"drug_era group during day -365 through -1 days relative to index: Fentanyl",410,1154029,0
1367571410,"drug_era group during day -365 through -1 days relative to index: heparin",410,1367571,0
19003953410,"drug_era group during day -365 through -1 days relative to index: Rocuronium",410,19003953,0
967823410,"drug_era group during day -365 through -1 days relative to index: Sodium Chloride",410,967823,0
1000560410,"drug_era group during day -365 through -1 days relative to index: Ondansetron",410,1000560,0
1741122410,"drug_era group during day -365 through -1 days relative to index: tazobactam",410,1741122,0
1746114410,"drug_era group during day -365 through -1 days relative to index: Piperacillin",410,1746114,0
1305058410,"drug_era group during day -365 through -1 days relative to index: Methotrexate",410,1305058,0
1332418410,"drug_era group during day -365 through -1 days relative to index: Amlodipine",410,1332418,0
1347450410,"drug_era group during day -365 through -1 days relative to index: alteplase",410,1347450,0
1309944410,"drug_era group during day -365 through -1 days relative to index: Amiodarone",410,1309944,0
1343916410,"drug_era group during day -365 through -1 days relative to index: Epinephrine",410,1343916,0
914335410,"drug_era group during day -365 through -1 days relative to index: Atropine",410,914335,0
1738521410,"drug_era group during day -365 through -1 days relative to index: Doxycycline",410,1738521,0
1728416410,"drug_era group during day -365 through -1 days relative to index: Penicillin G",410,1728416,0
1551099410,"drug_era group during day -365 through -1 days relative to index: Prednisone",410,1551099,0
740275410,"drug_era group during day -365 through -1 days relative to index: Carbamazepine",410,740275,0
723013410,"drug_era group during day -365 through -1 days relative to index: Diazepam",410,723013,0
1521369410,"drug_era group during day -365 through -1 days relative to index: Norethindrone",410,1521369,0
